KGISWardID,KGISWardCo,LGD_WardCo,KGISWardNo,Ward Name,KGISTownCo,xcoord,ycoord
4879,2003002,1303140,2,Chowdeswari Ward,2003,77.57889171,13.12191289
4882,2003003,1303141,3,Someshwara Ward,2003,77.57437395,13.10372374
4883,2003004,1303142,4,Atturu Layout,2003,77.5550479,13.09573146
4886,2003005,1303143,5,Yelahanka Satellite Town,2003,77.58771611,13.09134489
4910,2003017,1303155,17,Shettihalli,2003,77.5134929,13.06446412
4915,2003020,1303158,20,Mallasandra,2003,77.51526433,13.0548038
4994,2003059,1302731,59,Mattikere,2003,77.56113478,13.0328964
4995,2003060,1302732,60,Aramane Nagara,2003,77.57705066,13.01533211
4998,2003061,1302733,61,Malleswaram,2003,77.56162791,13.0144284
4950,2003037,1302709,37,Chanakya,2003,77.55514152,13.0254633
4958,2003041,1302713,41,Peenya,2003,77.52682048,13.02839115
4922,2003023,1302695,23,Nelagadderanahalli,2003,77.50560738,13.02259218
4982,2003053,1302725,53,Nandini Layout,2003,77.53503632,13.01588519
4975,2003050,1302722,50,Marappana Palya,2003,77.54634033,13.01775167
4999,2003062,1302734,62,Subramanya Nagar,2003,77.55713331,13.00700158
5003,2003064,1302736,64,Kadu Malleshwara,2003,77.56851149,13.00237539
5006,2003065,1302737,65,Rajamahal Guttahalli,2003,77.57909162,13.00137952
5114,2003119,1302791,119,New Bayappanahalli,2003,77.63109058,12.98913234
5139,2003132,1302804,132,Dattatreya Temple,2003,77.57416446,12.99654289
5143,2003134,1302806,134,Subhash Nagar,2003,77.568729,12.98260786
5002,2003063,1302735,63,Gayithri Nagar,2003,77.56051613,12.99742664
4927,2003026,1302698,26,Hegganahalli,2003,77.50905014,13.00319327
4930,2003027,1302699,27,Sunkadakatte,2003,77.50104786,12.99785455
4966,2003045,1302717,45,Vijayanagara Krishnadevaraya,2003,77.51526891,12.9851596
4987,2003056,1302728,56,Shankar Matt,2003,77.53363199,12.99759456
4990,2003057,1302729,57,Shakthi Ganapathi Nagar,2003,77.53096602,12.99385151
4991,2003058,1302730,58,Vrisabhavathi Nagar,2003,77.52593845,12.98887306
5166,2003145,1302817,145,Kamakshipalya,2003,77.5342759,12.98698727
5163,2003144,1302816,144,Basaveshwara Nagar,2003,77.54249073,12.99152565
5162,2003143,1302815,143,Shivanagara,2003,77.5497044,12.98824199
5158,2003141,1302813,141,Rajaji Nagar,2003,77.55077642,12.99421313
5159,2003142,1302814,142,Sriramamandir,2003,77.55592723,12.983751
5155,2003140,1302812,140,Prakash Nagar,2003,77.55824274,12.99312832
5154,2003139,1302811,139,Dayananda Nagar,2003,77.56423451,12.99108433
5146,2003135,1302807,135,Okalipuram,2003,77.56386081,12.98281345
5142,2003133,1302805,133,Gandhinagar,2003,77.57576264,12.98129888
5135,2003130,1302802,130,Bharathi Nagar,2003,77.61061519,12.98890807
5138,2003131,1302803,131,Ulsoor,2003,77.61919203,12.97984962
5115,2003120,1302792,120,Hoysala Nagar,2003,77.63719502,12.97989889
5126,2003125,1302797,125,Konena Agrahara,2003,77.6579321,12.95719773
5151,2003138,1302810,138,Chickpete,2003,77.57728753,12.97048243
5150,2003137,1302809,137,Cottonpete,2003,77.56627988,12.97031787
4942,2003033,1302705,33,Kengeri,2003,77.48633563,12.92363216
6926,2003210,,210,Basavanagudi,2003,77.56886006,12.93729826
6927,2003212,,212,Srinivasa Nagar,2003,77.55710484,12.94221299
6928,2003213,,213,Srinagar,2003,77.55262457,12.94259944
6929,2003214,,214,Girinagar,2003,77.54493601,12.93904646
6930,2003243,,243,Kudlu,2003,77.65877021,12.88879276
5087,2003106,1302778,106,Hudi,2003,77.72239544,12.99498114
5106,2003115,1302787,115,Bellanduru,2003,77.67290556,12.9391019
5103,2003114,1302786,114,Marathahalli,2003,77.69679842,12.94259404
4983,2003054,1302726,54,Jai Maruthinagara,2003,77.53294176,13.00793387
4986,2003055,1302727,55,Puneet Rajkumar,2003,77.53364678,13.0019343
5118,2003121,1302793,121,Old Thippasandra,2003,77.64697386,12.97372123
5123,2003124,1302796,124,Jeevanbhima Nagar,2003,77.65017207,12.95911658
4955,2003040,1302712,40,Veeramadakari,2003,77.53509218,13.04172872
5062,2003093,1302765,93,HAL Airport,2003,77.67260926,12.95715877
4959,2003042,1302714,42,Lakshmi Devi Nagar,2003,77.52542716,13.01471524
4938,2003031,1302703,31,Doddagollarahatti,2003,77.48144829,12.96898243
4939,2003032,1302704,32,Ullal,2003,77.48885856,12.94145867
4918,2003021,1303159,21,T Dasarahalli,2003,77.51338933,13.0449583
4919,2003022,1303160,22,Chokkasandra,2003,77.50553633,13.03806739
4923,2003024,1302696,24,Rajagopal Nagar,2003,77.5178207,13.02312905
4926,2003025,1302697,25,Rajeshwari Nagar,2003,77.51334122,13.01022373
4962,2003043,1302715,43,Ranadheera Kanteerava,2003,77.52446523,13.00635085
4963,2003044,1302716,44,Veera Sindhura Lakshamana,2003,77.51547594,12.99822389
4967,2003046,1302718,46,Sir M. Vishweshwaraiah,2003,77.50253473,12.97954852
4970,2003047,1302719,47,Nalvadi Krishnaraja Wadior Park,2003,77.49546644,12.95734871
4947,2003036,1302708,36,Chatrapati Shivaji,2003,77.54331986,13.02575958
4971,2003048,1302720,48,Jnana Bharathi,2003,77.513149,12.94395893
4974,2003049,1302721,49,Rajarajeshwari Nagar,2003,77.52159504,12.91416283
5110,2003117,1302789,117,C V Raman Nagar,2003,77.65812271,12.99129303
