WardNumber,WardName,blank,xcoord,ycoord,AvgML
232,HSR - Singasandra,,77.63995,12.89482,145
5,Yelahanka Satellite Town,,77.58772,13.09134,72
221,Konanakunte,,77.56168,12.88136,229
131,Ulsoor,,77.61919,12.97985,217
195,Tilak Nagar,,77.59827,12.92648,124
19,Defence Colony,,77.50526,13.05054,71
109,AECS Layout,,77.70945,12.96328,156
54,Jai Maruthinagara,,77.53294,13.00793,11
218,Subramanyapura,,77.53429,12.89716,191
133,Gandhinagar,,77.57576,12.98130,77
23,Nelagadderanahalli,,77.50561,13.02259,121
40,Veeramadakari,,77.53509,13.04173,146
192,BTM Layout,,77.61508,12.91591,85
186,Koramangala,,77.62806,12.93243,85
205,Vikram Nagar,,77.55699,12.90342,64
167,Jagajivanaram Nagar,,77.55902,12.96455,270
31,Doddagollarahatti,,77.48145,12.96898,85
46,Sir M. Vishweshwaraiah,,77.50253,12.97955,174
204,Kumaraswamy Layout,,77.56442,12.91077,88
181,Shantala Nagar,,77.60694,12.96945,83
108,Dodda Nekkundi,,77.69754,12.97178,140
49,Rajarajeshwari Nagar,,77.52160,12.91416,32
237,Bilekhalli,,77.60969,12.89938,151
153,Nagarabhavi,,77.51768,12.95946,121
178,Domlur,,77.63632,12.96365,64
21,T Dasarahalli,,77.51339,13.04496,69
90,Mahadevapura,,77.68418,12.98738,207
9,Amrutahalli,,77.60377,13.06012,125
14,Vidyaranyapura,,77.55830,13.07418,232
