WardNo,WardName,,xcoord,ycoord,AvgML
232,HSR - Singasandra,,77.6399519,12.89481621,145
5,Yelahanka Satellite Town,,77.58771611,13.09134489,72
221,Konanakunte,,77.56167868,12.881361,229
131,Ulsoor,,77.61919203,12.97984962,217
195,Tilak Nagar,,77.59827093,12.92647641,124
19,Defence Colony,,77.50525928,13.05053601,71
109,AECS Layout,,77.70944994,12.96327891,156
54,Jai Maruthinagara,,77.53294176,13.00793387,11
218,Subramanyapura,,77.53429157,12.89716087,191
133,Gandhinagar,,77.57576264,12.98129888,77
23,Nelagadderanahalli,,77.50560738,13.02259218,121
40,Veeramadakari,,77.53509218,13.04172872,146
192,BTM Layout,,77.61507957,12.91590887,85
186,Koramangala,,77.62805866,12.93243345,85
205,Vikram Nagar,,77.55699306,12.90341786,64
167,Jagajivanaram Nagar,,77.55901521,12.96454883,270
31,Doddagollarahatti,,77.48144829,12.96898243,85
46,Sir M. Vishweshwaraiah,,77.50253473,12.97954852,174
204,Kumaraswamy Layout,,77.56441507,12.91076505,88
181,Shantala Nagar,,77.60694271,12.96945212,83
108,Dodda Nekkundi,,77.6975423,12.97177694,140
49,Rajarajeshwari Nagar,,77.52159504,12.91416283,32
237,Bilekhalli,,77.60969421,12.89937577,151
153,Nagarabhavi,,77.51767556,12.95946481,121
178,Domlur,,77.63632409,12.96365077,64
21,T Dasarahalli,,77.51338933,13.0449583,69
90,Mahadevapura,,77.68418358,12.9873814,207
9,Amrutahalli,,77.60377434,13.06011872,125
14,Vidyaranyapura,,77.55829616,13.07417763,232
94,Hennur,,77.62941544,13.0365855,192
233,Rupenaagrahara,,77.63695003,12.88901235,92
176,Someshwara Nagar,,77.59607117,12.93631763,63
11,Byatarayanapura,,77.57922578,13.07776629,22
29,Vidyamanyanagar,,77.48542696,13.00143289,120
238,Arakere,,77.606119,12.88640536,54
82,Babusab Palya,,77.65046817,13.02560663,8
199,Sarakki,,77.58447201,12.90827006,117
229,Ibluru,,77.65496788,12.90918894,170
207,Kamakya Nagar,,77.54996093,12.92112595,86
223,Chunchaghatta,,77.58116868,12.877493,55
55,Puneet Rajkumar,,77.53364678,13.0019343,4
240,Vinayakanagar,,77.59484552,12.89840157,160
106,Hudi,,77.72239544,12.99498114,36
121,Old Thippasandra,,77.64697386,12.97372123,94
100,Banasavadi,,77.65113796,13.01382743,64
84,Ramamurthy Nagara,,77.67077667,13.01345812,183
48,Jnana Bharathi,,77.513149,12.94395893,224
10,Kempapura,,77.59409235,13.04983766,9
182,Shanthi Nagar,,77.59933097,12.95559052,228
171,Sudham Nagara,,77.58536339,12.95719883,110
198,J P Nagar,,77.59471581,12.91223918,36
193,N S Palya,,77.60620359,12.9110276,49
118,Lal Bahadur Nagar,,77.64981524,12.99971125,140
214,Girinagar,,77.54493601,12.93904646,11
144,Basaveshwara Nagar,,77.54249073,12.99152565,217
36,Chatrapati Shivaji,,77.54331986,13.02575958,222
161,Attiguppe,,77.53006279,12.95971303,138
91,A Narayanapura,,77.670739,12.99371641,205
33,Kengeri,,77.48633563,12.92363216,56
103,Maruthi Seva Nagar,,77.63283461,12.99879431,96
101,Kammanahalli,,77.63779219,13.00886684,92
73,Jayachamarajendra  Nagar,,77.59312562,13.01641097,234
210,Basavanagudi,,77.56886006,12.93729826,116
177,Hombegowda Nagara,,77.59676804,12.94916775,54
124,Jeevanbhima Nagar,,77.65017207,12.95911658,101
26,Hegganahalli,,77.50905014,13.00319327,153
209,Hosakerehalli,,77.5381607,12.92977662,1
120,Hoysala Nagar,,77.63719502,12.97989889,42
213,Srinagar,,77.55262457,12.94259944,120
41,Peenya,,77.52682048,13.02839115,70
64,Kadu Malleshwara,,77.56851149,13.00237539,58
56,Shankar Matt,,77.53363199,12.99759456,73
38,J P Park,,77.55098756,13.03569118,87
234,Hongasandra,,77.62738292,12.89769065,117
215,Katriguppe,,77.5501125,12.93119361,134
39,Kanneshwara Rama,,77.54879922,13.04699059,14
235,Bommanahalli,,77.62215528,12.90243355,168
57,Shakthi Ganapathi Nagar,,77.53096602,12.99385151,3
180,Agaram,,77.63983108,12.94259274,140
226,Kalena Agrahara,,77.60768159,12.85957047,128
62,Subramanya Nagar,,77.55713331,13.00700158,14
227,Begur,,77.63799843,12.87115575,95
16,Kammagondanahalli,,77.52846068,13.07731835,131
165,Chamrajapet,,77.56742637,12.96026024,131
194,Gurappanapalya,,77.60450246,12.92039352,50
125,Konena Agrahara,,77.6579321,12.95719773,658
70,Hebbala,,77.59228639,13.03308402,226
174,Vishveshwara Puram,,77.58012301,12.95022869,147
